timestamp_kst,equity,daily_pnl,total_pnl,unrealized,cum_pnl_with_unrealized,position_count,long_count,short_count,seed_used_pct,seed_used,mdd,current_dd,source_ts
2026-05-07 11:06:12,4820.32,1.01,-179.68,-11.68,-179.68,7,5,2,6.74,325.13,-3.57,-3.56,2026-05-07T11:05:23.207159+09:00
2026-05-07 14:53:59,4849.31,19.11,-150.69,-0.99,-150.69,8,5,3,8.14,394.86,-3.7,-3.03,2026-05-07T14:52:54.927959+09:00
2026-05-07 17:19:50,4871.0,29.35,-129.0,10.88,-129.0,9,5,4,8.69,423.47,-3.7,-2.6,2026-05-07T17:18:32.325093+09:00
2026-05-07 20:02:26,4864.87,30.94,-135.13,3.42,-135.13,10,7,3,8.97,436.6,-3.7,-2.67,2026-05-07T20:01:36.012347+09:00
2026-05-07 22:45:02,4885.48,48.98,-114.52,5.82,-114.52,8,5,3,7.17,350.51,-3.7,-2.3,2026-05-07T22:44:07.792568+09:00
2026-05-08 01:00:48,4883.02,0,-116.98,-10.9,-116.98,6,5,1,7.1,346.85,-3.7,-2.25,2026-05-08T00:58:49.890365+09:00
2026-05-08 03:17:55,4878.7,0,-121.3,-15.34,-121.3,6,5,1,8.31,405.54,-3.7,-2.44,2026-05-08T03:16:36.481492+09:00
2026-05-08 05:08:30,4883.47,0,-116.53,-10.5,-116.53,6,5,1,8.32,406.09,-3.7,-2.36,2026-05-08T05:07:32.125460+09:00
2026-05-08 06:48:15,4884.93,10.41,-115.07,-19.57,-115.07,6,5,1,8.67,423.35,-3.7,-2.3,2026-05-08T06:47:05.033869+09:00
2026-05-08 07:54:03,4887.0,12.81,-113.0,-19.9,-113.0,7,6,1,9.1,444.84,-3.7,-2.27,2026-05-08T07:52:31.273445+09:00
2026-05-08 08:44:48,4894.98,13.44,-105.02,-12.32,-105.02,7,6,1,8.91,436.17,-3.7,-2.1,2026-05-08T08:43:47.927465+09:00
2026-05-08 11:12:59,4877.71,14.98,-122.29,-30.76,-122.29,7,6,1,9.05,441.42,-3.7,-2.47,2026-05-08T11:11:28.615510+09:00
2026-05-08 14:23:42,4926.44,33.94,-73.56,-1.34,-73.56,6,5,1,8.09,398.33,-3.7,-1.47,2026-05-08T14:22:15.695826+09:00
2026-05-08 16:18:27,4928.69,43.33,-71.31,-7.65,-71.31,6,5,1,7.52,370.49,-3.7,-1.43,2026-05-08T16:17:09.926882+09:00
2026-05-08 18:07:57,4939.32,42.97,-60.68,2.9,-60.68,6,5,1,7.18,354.88,-3.7,-1.22,2026-05-08T18:07:00.955103+09:00
2026-05-08 20:04:40,4953.34,51.17,-46.66,8.3,-46.66,5,4,1,7.28,360.81,-3.7,-0.92,2026-05-08T20:03:00.713107+09:00
2026-05-08 22:12:26,4944.71,53.51,-55.29,-2.24,-55.29,5,4,1,10.4,514.44,-3.7,-1.08,2026-05-08T22:10:48.716250+09:00
2026-05-09 00:14:57,4942.32,0,-2.68,0.0,-2.68,0,0,0,0.0,0,-0.05,-0.05,2026-05-09T00:13:37.436803+09:00
2026-05-09 02:04:52,4942.64,0,-2.36,0.0,-2.36,0,0,0,0.0,0,-0.06,-0.04,2026-05-09T02:03:13.959248+09:00
2026-05-09 04:06:17,4943.45,0,-1.55,0.0,-1.55,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T04:05:04.397754+09:00
2026-05-09 05:49:59,4943.75,0,-1.25,0.0,-1.25,0,0,0,0.0,0,-0.06,-0.02,2026-05-09T05:48:25.120154+09:00
